"year","month","day","hour","light","t.air","vpd","rain"
2003,1,1,0,0,25.366,0.510948089688184,0
2003,1,1,1,0,25.025,0.442930123823372,0
2003,1,1,2,0,24.592,0.315818808884963,0
2003,1,1,3,0,24.196,0.238432853312632,0
2003,1,1,4,0,24.431,0.240966807281759,0
2003,1,1,5,18.991092,24.166,0.212563089313601,0
2003,1,1,6,270.730456,24.476,0.231648186950558,0
2003,1,1,7,453.203701,25.211,0.23070808380775,0
2003,1,1,8,470.571072,25.348,0.152001802199878,0
2003,1,1,9,1112.043235,26.791,0.616927460406743,0
2003,1,1,10,911.409267,27.124,0.732247215734324,0
2003,1,1,11,1773.003249,28.048,0.903834321385848,0
2003,1,1,12,942.903422,27.887,0.901642657099702,0
2003,1,1,13,967.773362,28.916,1.26276993407856,0
2003,1,1,14,800.650747,28.664,1.1779107757524,0
2003,1,1,15,726.918367,29.3,1.44307980576098,0
2003,1,1,16,695.328699,29.468,1.48943821984219,0
2003,1,1,17,134.494643,29.002,1.41251179430278,0
2003,1,1,18,0,28.451,1.2539995735664,0
2003,1,1,19,0,27.961,1.20191635171223,0
2003,1,1,20,0,27.576,1.08682425584679,0
2003,1,1,21,0,27.048,1.03808199566432,0
2003,1,1,22,0,26.895,0.969389993072705,0
2003,1,1,23,0,26.239,0.752657444788444,0
2003,1,2,0,0,25.328,0.365823863950926,0
2003,1,2,1,0,25.106,0.354187170864122,0
2003,1,2,2,0,25.112,0.294560133985378,0
2003,1,2,3,0,25.243,0.307425701072163,0
2003,1,2,4,0,25.007,0.284297785547492,0
2003,1,2,5,10.964801,24.266,0.167051767639872,0
2003,1,2,6,91.592397,23.945,0.0522835954699934,0
2003,1,2,7,514.035885,24.237,0.194589249612173,0
2003,1,2,8,949.535863,25.461,0.40164231957224,0
2003,1,2,9,886.767827,25.982,0.550666856173701,0
2003,1,2,10,1424.039877,26.791,0.722700460406744,6.7790412
2003,1,2,11,1699.506224,27.842,0.957551652655863,0
2003,1,2,12,1209.40937,28.174,1.08020993450125,0
2003,1,2,13,1151.502443,28.424,1.17486734538038,0
2003,1,2,14,526.490049,27.684,0.851665164499904,0
2003,1,2,15,676.11322,27.362,0.708705626867658,0
2003,1,2,16,254.076919,27.867,0.920427737709566,0
2003,1,2,17,155.192173,27.471,0.651474748353504,0
2003,1,2,18,0,26.429,0.342624809615047,1.3167396
2003,1,2,19,0,25.866,0.290190387628849,0
2003,1,2,20,0,25.885,0.337093775112816,0
2003,1,2,21,0,25.586,0.31386528622521,0
2003,1,2,22,0,25.058,0.240896618725582,0
2003,1,2,23,0,24.822,0.25211241001637,0
2003,1,3,0,0,24.463,0.183784131190888,0
2003,1,3,1,0,24.198,0.198685966861395,0
2003,1,3,2,0,23.82,0.144674333907769,0
2003,1,3,3,0,23.697,0.142237898813628,0
2003,1,3,4,0,23.562,0.0987115211300358,0
2003,1,3,5,10.073651,23.352,0.0679963169103339,0
2003,1,3,6,53.675564,23.42,0.0454683627643084,0
2003,1,3,7,319.115331,23.965,0.0763088831755643,0
2003,1,3,8,567.099983,25.18,0.224245651222594,0
2003,1,3,9,922.625875,26.339,0.52327329602585,0
2003,1,3,10,1139.541839,26.979,0.747555688969388,0
2003,1,3,11,1763.99715,28.061,1.09761809827012,0
2003,1,3,12,1376.119314,28.3,1.12909447238855,0
2003,1,3,13,1272.877987,28.846,1.23268435279308,0
2003,1,3,14,915.623264,29.1,1.32073172325915,0
2003,1,3,15,1133.810602,29.287,1.37767411058086,0
2003,1,3,16,217.538855,28.714,1.25600855122211,0
2003,1,3,17,127.323399,28.287,1.15982037697267,0
2003,1,3,18,0,27.596,1.07520208771497,0
2003,1,3,19,0,26.816,0.841571092248636,0
2003,1,3,20,0,26.578,0.702832975868134,0
2003,1,3,21,0,26.209,0.623810999611886,0
2003,1,3,22,0,25.978,0.579440745800117,0
2003,1,3,23,0,25.742,0.583557198716441,0
2003,1,4,0,0,25.312,0.498415896840773,0
2003,1,4,1,0,24.908,0.437072585756951,0
2003,1,4,2,0,24.498,0.352021184696903,0
2003,1,4,3,0,24.178,0.321637033886033,0
2003,1,4,4,0,24.086,0.31330119319868,0
2003,1,4,5,9.983622,24.005,0.309351799524795,0
2003,1,4,6,109.227113,24.061,0.289313005149474,0
2003,1,4,7,305.769103,24.212,0.266451721572992,0
2003,1,4,8,921.264015,25.523,0.429351980094232,0
2003,1,4,9,910.505778,26.465,0.70331290920661,0
2003,1,4,10,918.417819,27.225,0.881765463390805,0
2003,1,4,11,1198.255828,27.686,0.988413262425631,0
2003,1,4,12,797.204053,27.849,1.03979685405966,0
2003,1,4,13,1268.513637,28.757,1.30308449017292,0
2003,1,4,14,1638.827135,29.642,1.51801911200863,0
2003,1,4,15,646.963018,29.712,1.62888350743344,0
2003,1,4,16,361.232451,29.743,1.59230150561305,0
2003,1,4,17,127.126889,29.553,1.52825570873472,0
2003,1,4,18,0,29.127,1.39091128416438,0
2003,1,4,19,0,27.773,1.01758853864441,0
2003,1,4,20,0,27.11,0.787327901809844,0
2003,1,4,21,0,27.078,0.858658386254712,0
2003,1,4,22,0,26.771,0.801147482073483,0
2003,1,4,23,0,26.196,0.629869237999302,0
2003,1,5,0,0,25.809,0.481966657788087,0
2003,1,5,1,0,25.74,0.565045057288654,0
2003,1,5,2,0,25.411,0.533979130245481,0
2003,1,5,3,0,25.131,0.511921623391534,0
2003,1,5,4,0,24.703,0.436155460869995,0
2003,1,5,5,16.413612,24.426,0.399956716230497,0
2003,1,5,6,228.42688,24.767,0.363403848350253,0
2003,1,5,7,659.052039,25.828,0.505372231995198,0
2003,1,5,8,1049.853304,26.806,0.646119224589382,0
2003,1,5,9,1045.084966,27.505,0.892741599418101,0
2003,1,5,10,927.148347,27.973,1.08274091149642,0
2003,1,5,11,1264.958177,28.673,1.29323746248752,0
2003,1,5,12,1266.510606,29.056,1.30741655048298,0
2003,1,5,13,1102.764764,29.528,1.46666889685981,0
2003,1,5,14,686.764976,29.597,1.49440733042891,0
2003,1,5,15,200.450711,26.861,0.767831576117622,0
2003,1,5,16,180.116953,25.24,0.809435693793441,0
2003,1,5,17,153.254493,27.171,1.12910348074063,0
2003,1,5,18,0,27.378,1.01329230765732,0
2003,1,5,19,0,27.637,1.12595607897733,0
2003,1,5,20,0,27.392,0.906258459571956,0
2003,1,5,21,0,27.392,0.954433859571957,0
2003,1,5,22,0,26.84,0.808729182050737,0
2003,1,5,23,0,26.412,0.673493537047779,0
2003,1,6,0,0,25.809,0.506847657788087,0
2003,1,6,1,0,25.528,0.473392977617264,0
2003,1,6,2,0,25.255,0.40680262177885,0
2003,1,6,3,0,24.951,0.369410279454268,0
2003,1,6,4,0,24.543,0.262397255880172,0
2003,1,6,5,16.432806,24.061,0.149165205149474,0
2003,1,6,6,190.110629,24.414,0.148435692413182,0
2003,1,6,7,601.655581,25.292,0.200334014400452,0
2003,1,6,8,1044.525598,26.361,0.440902480774473,0
2003,1,6,9,924.160024,26.961,0.573893220131423,0
2003,1,6,10,1137.185547,27.535,0.770941076529541,0
2003,1,6,11,1210.889593,28.449,0.986767457675042,0
2003,1,6,12,1044.85738,28.652,1.06638007252588,0
2003,1,6,13,1301.996656,29.515,1.30341960660926,0
2003,1,6,14,1103.941539,30.069,1.52287539776754,0
